table id,name,phone number,Location,Emp. Group,Function,Gender ,Tenure,Tenure Grp.,Experience (YY.MM),Marital Status,Age in YY.,Hiring Source,Promoted/Non Promoted,Job Role Match,Stay/Left
1,sid,9876544345,Pune,B2,Operation,Male,0,< =1,6.08,Single,27.12,Direct,Non Promoted,Yes,Left
2,sid,9876544345,Noida,B7,Support,Male,0,< =1,13,Marr.,38.08,Direct,Promoted,No,Stay
3,sid,9876544345,Bangalore,B3,Operation,Male,0.01,< =1,16.05,Marr.,36.04,Direct,Promoted,Yes,Stay
4,sid,9876544345,Noida,B2,Operation,Male,0.01,< =1,6.06,Marr.,32.07,Direct,Promoted,Yes,Stay
5,sid,9876544345,Lucknow,B2,Operation,Male,0,< =1,7,Marr.,32.05,Direct,Non Promoted,Yes,Stay
6,sid,9876544345,Bangalore,B3,Operation,Male,0.01,< =1,9.01,Marr.,39.09,Direct,Promoted,No,Stay
7,sid,9876544345,Pune,B2,Operation,Female,0.01,< =1,5.02,Single,28.02,Agency,Promoted,No,Stay
8,sid,9876544345,Bangalore,B2,Operation,Male,0.01,< =1,5.11,Marr.,30.11,Agency,Promoted,No,Left
9,sid,9876544345,Bangalore,B2,Operation,Male,0.02,< =1,6.04,Marr.,33.05,Agency,Promoted,No,Left
10,sid,9876544345,Chennai,B2,Operation,Male,0.01,< =1,10.01,Div.,41.06,Direct,Promoted,Yes,Stay
11,sid,9876544345,Noida,B1,Operation,Male,0.01,< =1,0.1,Single,27.1,Direct,Non Promoted,No,Left
12,sid,9876544345,Noida,B2,Operation,Male,0.01,< =1,9.08,Marr.,34.09,Direct,Promoted,No,Stay
13,sid,9876544345,Hyderabad,B2,Operation,Male,0.01,< =1,6.03,Single,30.01,Direct,Promoted,No,Left
14,sid,9876544345,Nagpur,B2,Operation,other,0.02,< =1,6.09,Marr.,32.07,Direct,Non Promoted,No,Left
15,sid,9876544345,Madurai,B3,Operation,Male,0.02,< =1,11.02,Marr.,39.07,Direct,Promoted,No,Stay
16,sid,9876544345,Chennai,B2,Operation,Female,0.02,< =1,5.02,Marr.,26.07,Direct,Promoted,Yes,Stay
17,sid,9876544345,Nagpur,B2,Operation,Male,0.02,< =1,5.02,Marr.,27.1,Direct,Promoted,No,Left
18,sid,9876544345,Lucknow,B1,Operation,Male,0.02,< =1,5.02,Marr.,36.03,Direct,Promoted,No,Left
19,sid,9876544345,Noida,B2,Operation,Male,0.02,< =1,4.09,Single,31.09,Direct,Promoted,No,Left
20,shruti,9876544345,Bangalore,B2,Operation,Male,0.03,< =1,5.1,Single,27.08,Agency,Promoted,Yes,Stay
21,shruti,9876544345,Hyderabad,B1,Operation,Male,0.03,< =1,4.03,Single,27.07,Direct,Promoted,No,Left
22,shruti,9876544345,Bangalore,B1,Operation,Female,0.03,< =1,0.03,Single,21.05,Direct,Non Promoted,Yes,Stay
23,shruti,9876544345,Mumbai,B1,Operation,Female,0.02,< =1,1.1,Single,24.1,Direct,Non Promoted,Yes,Stay
